,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,like
13,Juice WRLD,Death Race For Love,Ring Ring (with Rvssian feat. Clever),4zxpssj8DyrfZcEUSUiNxG,0.581,0.673,0,-4.421,0,0.0549,0,0.4,0.621,160.073,171817,4,True
14,Shakewell,Key Stone Prince,Voodoo Walk,6Y0Ltp8emwEl0XgbxxNlwv,0.796,0.756,4,-4.165,0,0.0486,0,0.114,0.0512,130.966,153893,4,True
15,SOB X RBE,SOB X RBE,Lane Changing,7BkVZRHhZpKfgRtRpbb76j,0.925,0.869,7,-5.64,1,0.338,0,0.214,0.731,109.96,192070,4,True
16,Mike Sherm,Asshole,Asshole,6aD0Es1eyfVqpYZKJm9WkC,0.783,0.598,10,-10.59,1,0.292,0,0.118,0.452,97.011,160713,4,True
17,Rucci,Tako's Son,Get the Strap (feat. Shoreline Mafia),0fB2bhPipFZNJP9Ft0DXSk,0.744,0.516,1,-10.326,1,0.746,1.74e-05,0.118,0.296,203.986,178823,4,True
18,Polo G,THE GOAT,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,0.752,0.673,10,-5.792,0,0.153,0,0.133,0.35,164.009,163902,4,True
19,Flipp Dinero,The Guala Way,Time Goes Down,2oQ4ph6UMFYF5ssmh7A1m8,0.758,0.707,2,-6.677,0,0.249,3.66e-05,0.0987,0.482,151.942,195789,4,True
20,Shoreline Mafia,OTXmas,Molly Water (feat. Fenix Flexin & OhGeesy),4rd0Bdyo4PIN5KYef0m9uD,0.817,0.646,5,-7.871,1,0.305,0,0.0948,0.666,98.031,176453,4,True
21,Juice WRLD,Death Race For Love,Fast,6MjNilJCVKJq0LfFvo5jWJ,0.623,0.608,1,-5.937,0,0.0434,0,0.105,0.263,84.98,208518,4,True
22,Bravo the Bagchaser,Bravo Flexin',Bravo Flexin',7GpJFKZp2vr0zNHqcK4UQI,0.824,0.594,11,-10.751,0,0.364,0,0.254,0.559,101.56,142707,4,True
23,Unaverage Gang,Bloody Mary,Bloody Mary,0a1gcnZhrVPtyj2acYr34n,0.621,0.676,1,-9.407,1,0.086,0.00365,0.165,0.379,119.827,175992,4,True
24,Sueco the Child,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],2xKQj6P0TgxBVaRiojP2s2,0.821,0.684,7,-5.931,0,0.333,1.58e-06,0.234,0.744,100.054,160063,4,True
25,Night Lovell,GOODNIGHT LOVELL,JOAN OF ARC,3W7AVzdM5nLrnHIGuhqYdf,0.915,0.666,1,-2.52,1,0.0402,0.00295,0.253,0.0386,124.057,145168,4,True
26,Peso Da Goon,Back on Bullshit - EP,DoughHunt,44EtbBqSuCRXMJBXm6R4GE,0.879,0.329,0,-11.445,1,0.346,0.000783,0.103,0.207,100.049,173570,4,True
27,SOB X RBE,GANGIN,Back To Back,3OBBrPS2081jastZY3WURb,0.864,0.533,5,-9.945,0,0.382,0,0.116,0.449,96.034,185417,4,True
28,Shoreline Mafia,Party Pack. Vol 2,Fell In Love,71jvrqjUmejr15oFm8DmUu,0.922,0.726,4,-6.268,0,0.255,3.74e-05,0.0579,0.491,105.997,164040,4,True
29,Xavier Wulf,Bennington Forest,One Punch Wulf,6FDEjJjJ3QSEcV9RXj6FGa,0.798,0.76,2,-7.623,1,0.315,0,0.159,0.663,142.996,147744,4,True
30,Polo G,Epidemic,Epidemic,170DNUSnQRp1tGpppF26pA,0.616,0.617,1,-8.431,1,0.52,0,0.177,0.476,175.929,177273,4,True
31,Juice WRLD,Death Race For Love,The Bees Knees,6LkawpJyy0TZJ6Z41gMVyy,0.427,0.724,0,-4.751,1,0.0844,0,0.749,0.289,140.029,325810,4,True
32,P-Lo,PRIME,same squad,0YCl0i8CTDqtISiphhLIE8,0.918,0.419,7,-9.129,0,0.104,4.67e-06,0.195,0.756,96.036,151054,4,True
33,NLE Choppa,Camelot,Camelot,4sWuPniHClkInYAnzXAYUF,0.787,0.713,7,-5.252,1,0.401,0,0.717,0.761,175.046,148759,4,True
34,Pimp Tobi,Baghdad,Baghdad,6f8W83UjkVPEtwCnDHD8Xb,0.87,0.417,7,-11.194,1,0.107,0,0.107,0.554,98.01,137208,4,True
35,Mike Sherm,Throwbacks,Walkin Lick,2tuekY9MBmhCrdI3to9giK,0.737,0.369,9,-12.412,1,0.533,0,0.11,0.467,186.031,159054,4,True
36,Rucci,Tako's Son,Function in the Hood (feat. Azchike),2K8m9cHEspMIvm2Iyf95e2,0.955,0.69,7,-8.512,1,0.31,0,0.308,0.775,104.935,148893,4,True
37,Ayo & Teo,Fly N Ghetto,Fly N Ghetto,5PLe67zeDKnMamxEZi9LrA,0.907,0.59,7,-6.941,0,0.115,3.47e-05,0.107,0.407,99.982,148840,4,True
38,NAV,Turks,Turks (feat. Travis Scott),0lSZh5W0wDeurkGzLYY6hf,0.893,0.618,7,-4.425,0,0.112,0,0.542,0.389,119.099,161377,4,True
39,Shoreline Mafia,Party Pack. Vol 2,Wings,0MdSezTbC54SIPQkXrvHrp,0.927,0.607,4,-5.372,0,0.19,0,0.104,0.364,101.999,144080,4,True
40,Tory Lanez,LoVE me NOw (ReLoAdeD),Freaky,7EAaSaj1OgZgMX5yZyFXFC,0.966,0.563,8,-5.764,1,0.0618,0,0.105,0.363,104.991,173926,4,True
41,Polo G,Die A Legend,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,0.71,0.49,1,-9.832,1,0.246,0,0.0942,0.621,74.351,195587,4,True
42,Frostydasnowmann,Xtraordinary,I'm Gone,6SUtwtsFALJUe8nJwr7XTi,0.722,0.903,10,-6.051,0,0.276,0,0.303,0.228,96.984,201693,4,True
43,Young Scooter,Trippple Cross,Trippple Cross (feat. Future & Young Thug),3Aflzeml3BDWtEOy0VUMRo,0.818,0.573,8,-8.299,1,0.22,4.53e-06,0.114,0.304,134.982,190222,4,True
44,Juice WRLD,Legends Never Die,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,0.701,0.65,6,-6.313,1,0.104,0,0.112,0.647,90.003,160212,4,True
45,24kGoldn,VALENTINO (Imanbek Remix),VALENTINO - Imanbek Remix,660BgHpKo1jhR9MMSFn7CF,0.791,0.795,4,-4.854,1,0.0415,0,0.362,0.963,124.007,177975,4,True
46,Internet Money,Somebody,Somebody,735RSTb2xbtWbDtKD9XDYi,0.63,0.671,6,-6.659,0,0.256,0,0.113,0.333,89.921,174333,4,True
47,Cousin Stizz,Trying To Find My Next Thrill,Anonymous (feat. Smino),2LWDBGSvTl9TjCVQKC2YgO,0.873,0.729,4,-5.918,0,0.124,0.000167,0.306,0.575,129.945,180160,4,True
48,Juice WRLD,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0,0.132,0.425,180.051,189323,4,True
49,SaysoTheMac,Halfway Hoes,Halfway Hoes,5M3WyXKHuUtJ6SeVdU7kDl,0.879,0.537,6,-7.197,1,0.204,0,0.0984,0.628,93.993,153191,4,True
50,David Guetta,7,Light Headed,7ruWjzDQymWE7oJfQB9Sj6,0.452,0.709,9,-6.053,0,0.0448,0,0.124,0.343,139.883,178720,4,True
51,ILLENIUM,ASCEND,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,0.404,0.806,2,-4.75,1,0.0496,0,0.114,0.112,148.036,220730,4,True
52,Tiësto,God Is A Dancer (with Mabel),God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,0.774,0.747,1,-3.908,0,0.082,6.11e-06,0.342,0.833,119.964,168125,4,True
53,Bassjackers,Derp,Derp - Original Mix,4nrK0G6pOEuhMxn3hAaava,0.649,0.973,6,-4.391,1,0.0882,0.662,0.133,0.221,127.951,279375,4,True
54,The Chainsmokers,World War Joy,Takeaway,3g0mEQx3NTanacLseoP0Gw,0.528,0.511,3,-8.144,1,0.0324,0,0.101,0.351,100.1,209880,4,True
55,David Guetta,Your Love,Your Love,0tgbSxoFjZ20MjfoKwWevV,0.571,0.937,2,-2.682,0,0.0336,0.496,0.125,0.512,125.027,185620,4,True
56,ILLENIUM,Awake,Beautiful Creatures (feat. MAX),4pWawf1Rq4qHDv4Ktqjg2D,0.589,0.826,0,-4.577,0,0.0776,0.000735,0.367,0.215,117.099,240508,4,True
57,Harrison,Lucid Dreams,Lucid Dreams,60BTRjzBJpDUpmlC7NgtBw,0.752,0.781,6,-5.636,0,0.0769,1.69e-05,0.163,0.371,125.929,184762,4,True
58,Gryffin,Feel Good (feat. Daya),Feel Good (feat. Daya),0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,2,-4.761,1,0.0337,0,0.213,0.479,138.064,248156,4,True
59,Tujamo,Booty Bounce (Radio Edit),Booty Bounce - Radio Edit,4WgM2becr135oJ7DfVNaCd,0.657,0.981,0,-3.498,1,0.0365,0.612,0.0577,0.563,128.004,200760,4,True
60,Steve Aoki,Neon Future III,Just Hold On,508oFmt92FyICj6pZiWQwC,0.647,0.932,11,-3.517,1,0.083,1.69e-06,0.0574,0.387,115.0,198774,4,True
61,R3HAB,All Around The World (La La La),All Around The World (La La La),1D2Aldrksl9yWWCIPOeDzy,0.733,0.859,9,-5.03,0,0.033,0.0645,0.105,0.52,124.948,147840,4,True
62,David Guetta,Nothing but the Beat 2.0,Turn Me On (feat. Nicki Minaj),6JOlNkT0QdHeZB0wPbI9IR,0.705,0.794,8,-2.266,1,0.0593,0,0.575,0.412,127.961,199680,4,True
63,TJR,Bounce Generation,Bounce Generation - Radio Edit,3l3wjXneWieRL0yKd4Tihf,0.687,0.998,2,-1.304,1,0.291,0.0431,0.329,0.129,128.007,152813,4,True
64,MEDUZA,Piece Of Your Heart,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,10,-6.806,0,0.0295,0.00016,0.074,0.631,124.08,152913,4,True
65,ILLENIUM,Risen EP,For Truth,2vJB6G3OiQ01BELn0amAgW,0.643,0.703,0,-6.153,0,0.0348,0.315,0.132,0.118,100.027,193229,4,True
66,Kodie,Rockstars,Rockstars - Original,73JUdKaJLUpHEiWiawixCz,0.847,0.917,7,-5.197,1,0.242,9.05e-06,0.306,0.8,128.122,135010,4,True
67,David Guetta,Listen (Deluxe),Lovers on the Sun (feat. Sam Martin),2i2zYdN4KCkTCDscdMYr87,0.645,0.891,6,-2.505,0,0.0387,3.88e-06,0.379,0.568,124.915,203520,4,True
68,Seeb,Sad in Scandinavia (Part 1),Sad in Scandinavia,20dilZeCu4Q3F4I1fWFUqT,0.577,0.871,8,-3.902,0,0.0411,2.96e-06,0.259,0.305,115.163,204974,4,True
69,Deorro,When The Funk Drops,When The Funk Drops,6qPCcyAHEEvPp1QDCcMpPn,0.821,0.983,10,-2.573,1,0.0794,0.0709,0.0378,0.588,127.987,238125,4,True
70,Eric Prydz,Pjanoo,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,0.604,0.874,7,-4.949,0,0.0295,0.812,0.112,0.835,125.99,157432,4,True
71,ILLENIUM,ASCEND,Sad Songs (& Said The Sky with Annika Wells),4pioeMejnqa4T3QAEqwVA3,0.532,0.571,1,-6.291,1,0.041,0,0.109,0.475,144.912,210423,4,True
72,Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0,0.174,0.637,120.03,186878,4,True
73,Kodrew,Drop It,Drop It,5x0QJmXHhNpCrv0xbbkyYF,0.697,0.78,1,-8.555,1,0.262,0.804,0.379,0.0486,127.993,242181,4,True
74,Slushii,Out of Light,Into the Light,04ynVNunHLb17fIKoSPY50,0.353,0.875,11,-5.465,1,0.0469,0.0859,0.337,0.271,149.973,238530,4,True
75,Kasbo,Places We Don't Know,Places We Don't Know,3JrMXGfyYUlBNKrHe99Csy,0.514,0.733,2,-6.056,1,0.0332,0.244,0.37,0.0977,114.978,204533,4,True
76,Gryffin,Gravity,All You Need To Know (feat. Calle Lehmann),4TIkSdsNSfqpuq6ZYvCjAz,0.53,0.729,0,-6.019,1,0.0376,0,0.103,0.219,139.929,238338,4,True
77,David Guetta,Ain't a Party (feat. Harrison) [Radio Edit],Ain't a Party (feat. Harrison) - Radio Edit,0ovkF7guujkfu2yRLnUS0b,0.589,0.971,5,-3.666,0,0.103,7.66e-05,0.248,0.708,128.015,194500,4,True
78,Alok,Party On My Own (feat. FAULHABER),Party On My Own (feat. FAULHABER),4c9Py6O1NeuYKbJ8Ok7mTl,0.757,0.834,4,-4.362,0,0.0452,0.000301,0.217,0.294,121.066,146500,4,True
79,Steve Aoki,Neon Future IV,Let It Be Me,7nORGrTd2dDP38JC0YfZ4W,0.661,0.758,7,-5.299,1,0.0864,0,0.106,0.387,114.098,224061,4,True
80,ILLENIUM,Awake,Taking Me Higher,1bI9jePC8sxwC8wGtCDCqR,0.404,0.579,9,-6.815,1,0.0267,0.831,0.101,0.0693,98.063,164888,4,True
81,Jack Ü,Skrillex and Diplo present Jack Ü,Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,0.432,0.781,4,-4.038,0,0.0567,4.21e-06,0.0789,0.197,139.432,250286,4,True
82,Finger & Kadel,Kalinka,Kalinka - Radio Edit,1Ik5Z4RTgv5bNeqxNJlDiV,0.835,0.941,7,-3.453,1,0.2,0.0284,0.0805,0.736,129.891,200088,4,True
83,ZHU,THE NIGHTDAY,Faded,2GQEM9JuHu30sGFvRYeCxz,0.867,0.477,9,-7.183,0,0.049,0.175,0.113,0.614,124.979,223480,4,True
84,Tujamo,One Million,One Million,4pBOB1MKyKvG8ntBCTx49A,0.665,0.932,6,-2.497,1,0.0819,0.661,0.22,0.258,123.977,187742,4,True
85,David Guetta,Just a Little More Love,Love Don't Let Me Go,5lgS45xqkTk2HVm7Jph9ya,0.593,0.836,10,-4.774,0,0.0463,0,0.117,0.406,127.087,216893,4,True
86,ILLENIUM,ASCEND,Gorgeous (& Blanke with Bipolar Sunshine),6YeUIhr2njkkCBaBBrRK9j,0.52,0.881,6,-4.249,0,0.116,0.000855,0.331,0.291,180.013,277317,4,True
87,Martin Jensen,Carry On (Möwe Remix),Carry On - Möwe Remix,0WmonTquVmCSJMkxsEbipN,0.712,0.658,0,-6.189,1,0.0495,2.44e-06,0.143,0.583,118.023,183686,4,True
88,MR.BLACK,Mucho Bien,Mucho Bien,1F6jVA2colNR0HM7Ud9riW,0.704,0.693,3,-5.382,0,0.0298,2.46e-05,0.0799,0.473,124.046,183871,4,True
89,VINAI,How I Like It,How I Like It,7Djhup0pJRq54FX1LMx17L,0.603,0.988,0,-2.28,1,0.0885,4.29e-05,0.221,0.182,160.12,147094,4,True
90,Lucas & Steve,Let's Go,Let's Go,4Q6ZUid2qqoxX3GTlBLCCP,0.626,0.844,11,-5.455,0,0.0338,0.909,0.0673,0.181,126.008,191429,4,True
91,Bancali,Nothing To Do,Nothing To Do,23xtuubzgbV2UCKepN0h84,0.683,0.896,3,-4.759,1,0.122,0.287,0.0938,0.296,127.991,153652,4,True
92,Raaban,Bad Boy (feat. Luana Kiara),Bad Boy (feat. Luana Kiara),64p6ua7zpf66s62StC2QLv,0.644,0.892,0,-1.1,0,0.0567,0.000113,0.0893,0.767,180.044,190674,4,True
93,David Guetta,Pa' La Cultura,Pa' La Cultura,3MR5Lnhd6uCIgLXSK7nmyX,0.755,0.854,9,-4.288,0,0.0517,1.58e-05,0.389,0.588,105.038,235603,4,True
94,Black Eyed Peas,I Gotta Feeling (International Version),I Gotta Feeling - Edit,0MYLzCswPtYON4yYWmB4dx,0.746,0.778,0,-6.17,1,0.0269,0,0.0907,0.61,127.96,245667,4,True
95,ILLENIUM,Nightlight,Nightlight,06kxa3al7bUqRRo5nAFduZ,0.494,0.651,11,-4.127,0,0.0384,0,0.104,0.162,149.979,222400,4,True
96,Steve Angello,KNAS (BROHUG Remix),KNAS - BROHUG Remix,0PJ4RVL5wCeHDO8wHpk3YG,0.808,0.752,1,-4.863,0,0.0759,0.927,0.0507,0.469,125.005,201120,4,True
97,R.I.O.,Party Shaker (Bass Prototype & Corevin Remix),Party Shaker - Bass Prototype & Corevin Remix,1s32FqRsrEstL0fJEeXXdQ,0.627,0.98,11,-4.122,1,0.11,1.2e-05,0.345,0.887,149.965,212804,4,True
98,Love Harder,Oblivion,Oblivion,4sjs502JILjXEv7Xtf1h5q,0.916,0.413,6,-7.521,1,0.065,1.12e-05,0.0994,0.409,125.994,192296,4,True
99,Mike Williams,The Beat,The Beat,3b0cJPguhWOh2hjY6Lu192,0.563,0.954,7,-1.835,0,0.0283,0.168,0.27,0.788,128.014,162187,4,True
100,Future,EVOL,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,0.722,0.331,8,-7.789,1,0.0725,0.283,0.146,0.102,143.974,313547,4,True
101,GASHI,GASHI,My Year,1N8moY6H0eThviK71VhTzY,0.84,0.811,11,-3.243,0,0.0498,0.0,0.258,0.71,145.025,190345,4,True
102,Kid Ink,Ride Like A Pro (feat. Reo Cragun),Ride Like A Pro (feat. Reo Cragun),3uURJgSr118hIKd2O2XQ1k,0.862,0.707,11,-5.977,1,0.0519,0.0,0.166,0.794,120.97,206100,4,True
103,Estelle,American Boy (Brooks Remix),American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,0.609,0.764,5,-4.564,0,0.111,0.0,0.197,0.531,128.082,200625,4,True
104,Curren$y,Canal Street Confidential (Deluxe),Bottom of the Bottle (feat. August Alsina & Lil Wayne),4WC72P8F0CnYmqoPYQ7JDD,0.739,0.539,6,-9.735,1,0.337,0.0,0.235,0.835,85.082,238339,4,True
105,YG,STAY DANGEROUS,SUU WHOOP,6JzvfFCIFT1CbbHE1pDNBU,0.786,0.327,2,-9.889,1,0.528,1.34e-05,0.101,0.194,158.019,185000,4,True
106,Mustard,Perfect Ten,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,0.883,0.525,2,-8.054,0,0.0633,0.0,0.0971,0.312,99.978,174100,4,True
107,Tyga,Legendary (Deluxe Edition),Girls Have Fun (feat. G-Eazy & Rich The Kid),188QBQWQFRJtLX7VfU38Ci,0.888,0.74,8,-5.363,1,0.238,0.0,0.218,0.664,100.003,175711,4,True
108,Migos,No Label II,Fight Night,2n5gVJ9fzeX2SSWlLQuyS9,0.874,0.706,1,-5.132,1,0.207,0.0,0.334,0.895,89.968,216248,4,True
109,Yo Gotti,Rake It Up (Diplo & Party Favor Remix),Rake It Up - Diplo & Party Favor Remix,3wAbP40X5P9EVWkwmszInb,0.878,0.933,1,-3.093,0,0.277,0.0,0.531,0.601,154.006,172987,4,True
110,O.T. Genasis,"Bae (Remix) [feat. G-Eazy, Rich the Kid & E-40]","Bae (Remix) [feat. G-Eazy, Rich the Kid & E-40]",4X0vUyA1ypWt1jvDTmZEaq,0.928,0.618,5,-4.858,0,0.196,0.0,0.228,0.5,101.01,228713,4,True
111,Future,EVOL,Program,5lMmp06Yt5opZrKdszyh8Y,0.811,0.687,1,-6.188,0,0.154,4.5e-05,0.113,0.517,76.498,176187,4,True
112,Lil Wayne,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,9,-4.378,0,0.317,0.0,0.65,0.739,169.021,243491,4,True
113,Shordie Shordie,Captain Hook,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,0.762,0.383,5,-10.098,0,0.202,0.0,0.127,0.44,92.947,134213,4,True
114,Young Thug,So Much Fun,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,0.855,0.651,0,-8.044,0,0.235,0.0,0.0772,0.559,111.997,193027,4,True
115,Mustard,Perfect Ten,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0,-5.545,1,0.127,0.0,0.344,0.137,202.015,192471,4,True
116,Eminem,The Marshall Mathers LP,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0,0.0454,0.76,104.504,284200,4,True
117,King Lil G,Eternal,No Face No Ca$e,79WyxTUYKDb7DpgUv3OyCj,0.788,0.523,1,-8.257,0,0.0928,8.83e-05,0.178,0.264,98.033,161684,4,True
118,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,0.803,0.759,7,-4.692,0,0.0494,0.0,0.0921,0.284,104.0,213308,4,True
119,YG,My Krazy Life (Deluxe),Who Do You Love?,1uDjaezEbalGyGnuH80zDK,0.676,0.415,9,-9.752,1,0.508,0.0,0.0915,0.146,193.206,233507,4,True
120,Future,DS2 (Deluxe),Commas,4aoo6M6VeimaKHd5XwElaK,0.878,0.561,11,-5.978,0,0.218,0.000237,0.133,0.332,139.962,236748,4,True
121,DJ Khaled,Grateful,Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,0.613,0.681,8,-3.089,1,0.0778,0.0,0.126,0.619,97.621,204664,4,True
122,Dreamville,Revenge Of The Dreamers III,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,0.642,0.647,7,-6.312,0,0.428,0.0,0.0649,0.664,120.749,217867,4,True
123,O.T. Genasis,When I Get It (feat. Young Thug),When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,0.869,0.776,6,-5.549,1,0.307,0.0,0.0642,0.641,163.058,197402,4,True
124,Fetty Wap,Wake Up,Wake Up,6BOtDFg6GJm0rPUDuNmx57,0.647,0.673,5,-5.992,1,0.176,0.0,0.223,0.527,179.971,224000,4,True
125,Future,EVOL,Maybach,0Due109sq8Ld9G5xkWRubf,0.744,0.735,6,-4.004,1,0.113,0.0,0.487,0.397,142.017,220027,4,True
126,Mike WiLL Made-It,23,23,20FZrLl9zSbO9b3DhaqO6M,0.859,0.599,9,-5.254,1,0.0614,8.2e-06,0.13,0.319,140.005,252520,4,True
127,YG,STAY DANGEROUS,BULLETPROOF (feat. Jay 305),1qUdAB72nSWPZwDqH9KMYD,0.776,0.515,10,-7.415,0,0.411,0.0,0.321,0.448,162.488,153707,3,True
128,Shordie Shordie,Both Sides (feat. Shoreline Mafia),Both Sides (feat. Shoreline Mafia),2EEbsvGETiRXbma3hCsAQf,0.765,0.82,1,-5.856,0,0.214,0.0,0.0864,0.702,99.049,167273,4,True
129,Future,DS2 (Deluxe),Thought It Was a Drought,5ihDGnhQgMA0F0tk9fNLlA,0.861,0.448,2,-8.256,1,0.111,0.000408,0.0902,0.0487,125.022,265213,4,True
130,Migos,Danger (with Migos & Marshmello) [From Bright: The Album],Danger (with Migos & Marshmello),0nhVrTiCGiGRCoZOJiWzm1,0.814,0.743,9,-2.968,1,0.159,0.0,0.163,0.367,107.996,214587,4,True
131,Russ,SHAKE THE SNOW GLOBE,GUESS WHAT (feat. Rick Ross),40FUPlp2KJvdHY5ABnK100,0.738,0.785,1,-10.035,1,0.272,1.59e-05,0.117,0.357,92.008,206013,4,True
132,Young Thug,So Much Fun,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,0.974,0.596,6,-8.888,1,0.184,0.0,0.151,0.892,111.959,149040,4,True
133,Mustard,Dangerous World (feat. Travis Scott & YG),Dangerous World (feat. Travis Scott & YG),4pM4yFNLj3pTiNXOZsWYxf,0.812,0.586,4,-6.505,0,0.0654,0.0,0.106,0.323,100.062,165123,4,True
134,Tyga,FREAK,FREAK,0HIj0uo7zaFIpkzUIkDlmL,0.933,0.556,9,-6.115,1,0.216,0.0,0.114,0.504,106.01,174067,4,True
135,O.T. Genasis,Cut It (feat. Young Dolph),Cut It (feat. Young Dolph),376KnY4TrgBITxjlnbnmIy,0.875,0.673,7,-4.184,1,0.0932,0.0,0.292,0.231,130.0,222600,4,True
136,Chito Rana$,Always 100,Always 100,5y0ffY71StCtRBqihcFDjX,0.769,0.346,1,-12.471,1,0.347,0.0,0.208,0.413,89.939,181481,4,True
137,Future,EVOL,Lil Haiti Baby,3IMZ6j3mlRQYsatEuzt0Y3,0.498,0.604,10,-5.197,0,0.243,0.0,0.224,0.38,137.889,277387,4,True
138,Snoop Dogg,Sweat (Snoop Dogg Vs. David Guetta) [Remix],Sweat - Remix,0R7YVi7w41Dr9jU5vblAok,0.813,0.732,7,-5.636,1,0.03,0.00137,0.0826,0.731,130.02,195987,4,True
139,Chris Brown,F.A.M.E. (Expanded Edition),Look At Me Now (feat. Lil' Wayne & Busta Rhymes),3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,5.51e-06,0.144,0.538,146.155,222587,4,True
